Latitude (deg), Longitude (deg), Altitude (m), Distance horizontal (m), Velocity forward (m/s), Velocity lateral (m/s), Velocity down (m/s), Speed horizontal (m/s), Heading (deg), Pitch (deg), Roll (deg), Slip angle (deg), Angular rate forward (deg/s), Angular rate lateral (deg/s), Angular rate down (deg/s), Angular rate Xv (deg/s), Angular rate Yv (deg/s), Angular rate Zv (deg/s), Acceleration forward (m/s²), Acceleration lateral (m/s²), Acceleration down (m/s²), Acceleration Xv (m/s²), Acceleration Yv (m/s²), Acceleration Zv (m/s²)
42.24177699, -83.56551730, 187.307, 2881.480, 4.62, -0.04, -0.17, 4.62, 152.919, 3.365, 3.026, -0.473, -1.08, 0.96, -0.10, -1.07, 0.95, -0.21, -0.096, 0.083, -9.762, 0.477, -0.432, -9.742
42.24176957, -83.56551214, 187.342, 2882.407, 4.64, -0.02, -0.19, 4.64, 152.923, 3.427, 2.944, -0.237, 0.33, -1.19, 0.25, 0.32, -1.17, 0.33, 0.096, 0.058, -10.223, 0.707, -0.466, -10.188
42.24176213, -83.56550701, 187.380, 2883.336, 4.64, -0.02, -0.20, 4.64, 152.851, 3.143, 2.968, -0.204, -0.36, -1.66, -0.56, -0.33, -1.69, -0.50, -0.102, -0.150, -9.636, 0.426, -0.649, -9.606
42.24175472, -83.56550184, 187.427, 2884.264, 4.64, -0.03, -0.25, 4.64, 152.806, 2.958, 2.780, -0.329, -1.10, -1.49, -0.53, -1.07, -1.52, -0.51, -0.058, 0.224, -9.940, 0.455, -0.258, -9.929
42.24174730, -83.56549669, 187.461, 2885.193, 4.65, -0.01, -0.10, 4.65, 152.697, 2.997, 2.688, -0.110, -0.18, 1.11, -0.33, -0.16, 1.09, -0.39, 0.019, 0.033, -9.934, 0.538, -0.433, -9.910
42.24173986, -83.56549151, 187.489, 2886.124, 4.66, 0.00, -0.19, 4.66, 152.629, 3.072, 2.732, -0.012, 1.10, 0.04, 0.06, 1.09, 0.04, 0.12, 0.072, -0.014, -9.907, 0.603, -0.486, -9.877
42.24173241, -83.56548631, 187.524, 2887.058, 4.67, -0.02, -0.16, 4.67, 152.568, 3.080, 2.666, -0.268, -0.84, 0.37, 0.29, -0.86, 0.38, 0.22, 0.042, -0.022, -9.501, 0.553, -0.463, -9.474
42.24172497, -83.56548106, 187.557, 2887.993, 4.68, -0.03, -0.17, 4.68, 152.506, 3.103, 2.462, -0.324, -0.72, -0.06, -0.10, -0.71, -0.07, -0.14, 0.139, 0.035, -9.793, 0.669, -0.385, -9.764
42.24171751, -83.56547579, 187.592, 2888.930, 4.69, -0.01, -0.17, 4.69, 152.451, 3.180, 2.393, -0.097, -0.27, 0.28, -0.13, -0.26, 0.28, -0.16, 0.010, -0.040, -9.844, 0.557, -0.450, -9.818
42.24171004, -83.56547051, 187.626, 2889.870, 4.70, -0.02, -0.17, 4.70, 152.406, 3.181, 2.319, -0.237, -0.94, -0.70, -0.30, -0.92, -0.71, -0.32, -0.005, -0.216, -10.091, 0.555, -0.624, -10.059
42.24170257, -83.56546518, 187.662, 2890.811, 4.70, -0.01, -0.18, 4.70, 152.391, 3.156, 2.206, -0.170, -0.02, 0.07, -0.47, 0.00, 0.05, -0.47, -0.058, 0.001, -10.007, 0.493, -0.384, -9.987
42.24169512, -83.56545987, 187.698, 2891.749, 4.69, -0.02, -0.19, 4.69, 152.337, 3.111, 2.156, -0.272, -1.18, -0.71, 0.07, -1.18, -0.71, 0.04, -0.087, -0.247, -9.652, 0.437, -0.609, -9.627
42.24168772, -83.56545455, 187.731, 2892.685, 4.67, -0.01, -0.18, 4.67, 152.304, 3.148, 2.057, -0.155, -0.53, 0.64, 0.14, -0.54, 0.64, 0.09, -0.061, -0.075, -10.153, 0.497, -0.439, -10.132
