Latitude (deg), Longitude (deg), Altitude (m), Distance horizontal (m), Velocity forward (m/s), Velocity lateral (m/s), Velocity down (m/s), Speed horizontal (m/s), Heading (deg), Pitch (deg), Roll (deg), Slip angle (deg), Angular rate forward (deg/s), Angular rate lateral (deg/s), Angular rate down (deg/s), Angular rate Xv (deg/s), Angular rate Yv (deg/s), Angular rate Zv (deg/s), Acceleration forward (m/s²), Acceleration lateral (m/s²), Acceleration down (m/s²), Acceleration Xv (m/s²), Acceleration Yv (m/s²), Acceleration Zv (m/s²)
42.24214474, -83.55155542, 192.348, 695.682, 5.42, -0.02, 0.03, 5.42, 13.063, 0.543, -1.158, -0.207, -0.65, -0.24, -0.28, -0.65, -0.24, -0.29, 0.058, 0.041, -9.182, 0.145, 0.227, -9.178
42.24215426, -83.55155247, 192.338, 696.766, 5.42, -0.02, 0.04, 5.42, 12.941, 0.567, -1.149, -0.170, -0.70, 0.07, -0.51, -0.70, 0.08, -0.51, -0.010, -0.108, -10.098, 0.090, 0.095, -10.098
42.24216379, -83.55154955, 192.332, 697.851, 5.42, -0.01, 0.05, 5.42, 12.821, 0.500, -1.152, -0.157, -0.95, -0.06, -0.48, -0.95, -0.05, -0.49, 0.083, -0.146, -9.611, 0.167, 0.047, -9.611
42.24217331, -83.55154665, 192.323, 698.935, 5.42, -0.01, 0.04, 5.42, 12.701, 0.497, -1.147, -0.133, -0.42, 0.13, -0.69, -0.41, 0.15, -0.69, -0.039, -0.103, -10.515, 0.052, 0.107, -10.515
42.24218285, -83.55154378, 192.315, 700.020, 5.43, -0.02, 0.04, 5.43, 12.569, 0.419, -1.137, -0.251, -0.74, -0.58, -0.48, -0.73, -0.57, -0.50, 0.075, -0.220, -9.026, 0.141, -0.041, -9.028
42.24219239, -83.55154093, 192.304, 701.106, 5.43, -0.01, 0.04, 5.43, 12.453, 0.358, -1.142, -0.101, -0.19, -0.59, -0.82, -0.19, -0.57, -0.83, -0.016, -0.163, -10.522, 0.050, 0.047, -10.523
42.24220195, -83.55153810, 192.295, 702.193, 5.43, -0.02, 0.06, 5.43, 12.332, 0.194, -1.124, -0.201, -0.32, -0.44, -0.44, -0.32, -0.43, -0.45, -0.348, -0.112, -9.586, -0.315, 0.076, -9.588
42.24221152, -83.55153531, 192.281, 703.279, 5.44, -0.01, 0.07, 5.44, 12.208, 0.239, -1.134, -0.107, 0.34, -0.19, -0.74, 0.35, -0.17, -0.74, 0.149, 0.044, -9.889, 0.190, 0.240, -9.886
42.24222110, -83.55153252, 192.266, 704.367, 5.44, -0.02, 0.09, 5.44, 12.073, 0.214, -1.115, -0.164, -0.68, -0.02, -0.95, -0.68, -0.01, -0.95, -0.027, -0.288, -9.260, 0.008, -0.108, -9.264
42.24223068, -83.55152978, 192.253, 705.455, 5.44, -0.01, 0.05, 5.44, 11.957, 0.153, -1.165, -0.126, -0.03, -0.49, -0.36, -0.03, -0.48, -0.37, -0.062, -0.049, -8.820, -0.039, 0.130, -8.819
42.24224025, -83.55152706, 192.238, 706.541, 5.43, -0.01, 0.08, 5.43, 11.828, 0.071, -1.147, -0.099, 0.17, -0.80, -0.40, 0.17, -0.80, -0.42, -0.142, -0.004, -10.415, -0.129, 0.204, -10.413
42.24224979, -83.55152441, 192.221, 707.623, 5.39, -0.02, 0.11, 5.39, 11.704, 0.407, -1.274, -0.262, 1.59, 3.93, -0.07, 1.59, 3.93, 0.03, 0.076, 0.037, -9.565, 0.144, 0.250, -9.561
42.24225929, -83.55152175, 192.203, 708.701, 5.39, 0.00, 0.08, 5.39, 11.562, 0.947, -1.149, -0.018, 2.17, 0.15, -0.10, 2.17, 0.16, -0.06, 0.089, -0.265, -9.892, 0.252, -0.067, -9.893
42.24226880, -83.55151912, 192.190, 709.779, 5.39, -0.01, -0.02, 5.39, 11.466, 0.872, -0.996, -0.086, 0.41, -1.43, -0.83, 0.42, -1.41, -0.85, -0.244, -0.202, -11.153, -0.074, -0.008, -11.157
42.24227831, -83.55151658, 192.206, 710.855, 5.36, -0.04, -0.04, 5.36, 11.407, 0.365, -1.235, -0.388, -1.93, -1.24, -0.80, -1.93, -1.22, -0.84, -0.432, -0.180, -8.336, -0.379, 0.000, -8.340
42.24228775, -83.55151407, 192.195, 711.925, 5.34, 0.01, 0.09, 5.34, 11.263, 0.621, -1.397, 0.109, 0.84, 1.39, -0.55, 0.85, 1.40, -0.51, -0.182, 0.227, -10.165, -0.072, 0.475, -10.158
42.24229718, -83.55151155, 192.185, 712.993, 5.34, -0.01, 0.06, 5.34, 11.159, 0.710, -1.272, -0.106, 1.14, 0.12, -0.26, 1.15, 0.13, -0.24, 0.151, 0.135, -8.781, 0.259, 0.330, -8.773
42.24230660, -83.55150909, 192.182, 714.060, 5.33, -0.01, -0.02, 5.33, 11.069, 0.585, -1.222, -0.085, 3.81, -1.21, -0.81, 3.82, -1.19, -0.79, -1.607, 0.118, -9.542, -1.509, 0.322, -9.553
42.24231597, -83.55150664, 192.179, 715.122, 5.29, -0.02, 0.03, 5.29, 10.972, 0.738, -1.209, -0.201, -1.22, 2.05, 0.02, -1.22, 2.05, 0.04, -0.053, -0.166, -9.389, 0.068, 0.032, -9.390
42.24232534, -83.55150421, 192.177, 716.182, 5.31, 0.01, 0.06, 5.31, 10.828, 0.617, -1.054, 0.111, 0.03, -2.18, -0.63, 0.04, -2.17, -0.67, -0.051, -0.750, -8.618, 0.041, -0.591, -8.630
42.24233471, -83.55150178, 192.169, 717.245, 5.31, 0.01, -0.04, 5.31, 10.726, 0.191, -0.998, 0.152, 0.43, -3.37, -0.84, 0.43, -3.36, -0.90, 0.102, -0.211, -10.392, 0.137, -0.030, -10.394
42.24234410, -83.55149943, 192.184, 718.307, 5.31, -0.02, 0.03, 5.31, 10.644, -0.446, -0.962, -0.213, -0.45, -3.12, -0.87, -0.46, -3.11, -0.91, -0.084, 0.200, -7.754, -0.144, 0.330, -7.748
42.24235349, -83.55149706, 192.158, 719.370, 5.32, 0.00, 0.16, 5.32, 10.469, -0.372, -0.894, 0.018, 0.68, 0.46, -0.86, 0.68, 0.47, -0.86, 0.158, -0.176, -10.043, 0.093, -0.020, -10.045
42.24236293, -83.55149476, 192.136, 720.436, 5.34, 0.00, 0.10, 5.34, 10.356, -0.387, -0.946, -0.001, 0.61, -0.40, -0.85, 0.60, -0.38, -0.86, 0.044, -0.064, -9.702, -0.021, 0.097, -9.702
42.24237239, -83.55149250, 192.113, 721.505, 5.35, 0.00, 0.12, 5.35, 10.217, -0.344, -1.047, -0.049, 0.31, 0.80, -0.66, 0.30, 0.81, -0.64, 0.037, 0.114, -9.762, -0.022, 0.292, -9.758
42.24238187, -83.55149024, 192.091, 722.575, 5.35, -0.01, 0.12, 5.35, 10.061, -0.260, -1.096, -0.087, -0.47, 1.28, -0.68, -0.47, 1.29, -0.65, 0.000, -0.203, -9.361, -0.042, -0.024, -9.363
42.24239135, -83.55148804, 192.067, 723.646, 5.36, -0.01, 0.12, 5.36, 9.951, -0.118, -1.206, -0.100, -0.52, 0.21, -0.72, -0.52, 0.22, -0.72, 0.093, -0.028, -9.636, 0.073, 0.175, -9.635
42.24240085, -83.55148585, 192.046, 724.718, 5.36, 0.00, 0.09, 5.36, 9.808, -0.044, -1.250, -0.053, 0.55, 0.33, -0.75, 0.55, 0.34, -0.75, 0.031, 0.166, -9.644, 0.023, 0.376, -9.638
42.24241036, -83.55148368, 192.029, 725.792, 5.37, 0.00, 0.09, 5.37, 9.700, -0.127, -1.256, -0.050, 0.63, 0.27, -0.41, 0.63, 0.28, -0.41, -0.005, 0.081, -9.921, -0.027, 0.298, -9.917
42.24241988, -83.55148152, 192.013, 726.866, 5.38, 0.00, 0.10, 5.38, 9.582, -0.185, -1.217, -0.035, 0.29, -0.42, -0.02, 0.29, -0.42, -0.03, 0.025, -0.022, -9.754, -0.006, 0.186, -9.752
42.24242944, -83.55147939, 191.994, 727.944, 5.40, -0.01, 0.12, 5.40, 9.492, -0.197, -1.243, -0.065, 0.07, 1.20, -0.45, 0.07, 1.21, -0.43, 0.266, 0.012, -9.419, 0.234, 0.216, -9.418
42.24243905, -83.55147726, 191.973, 729.027, 5.43, 0.00, 0.09, 5.43, 9.375, -0.216, -1.242, -0.023, -0.46, -0.37, -0.52, -0.46, -0.36, -0.52, 0.046, -0.141, -9.824, 0.009, 0.072, -9.825
42.24244871, -83.55147516, 191.954, 730.116, 5.46, -0.01, 0.11, 5.46, 9.278, -0.317, -1.279, -0.055, 0.38, -0.27, -0.64, 0.37, -0.26, -0.65, 0.186, -0.047, -9.302, 0.134, 0.160, -9.302
42.24245842, -83.55147306, 191.933, 731.211, 5.49, -0.01, 0.12, 5.49, 9.164, -0.383, -1.320, -0.066, -0.17, 0.43, -0.44, -0.17, 0.44, -0.42, 0.140, -0.012, -9.815, 0.074, 0.215, -9.813
42.24246818, -83.55147097, 191.911, 732.312, 5.51, 0.00, 0.13, 5.51, 9.059, -0.426, -1.315, -0.029, 0.02, 0.34, 0.19, 0.02, 0.34, 0.20, 0.158, 0.014, -9.492, 0.087, 0.232, -9.490
42.24247800, -83.55146890, 191.886, 733.417, 5.54, -0.01, 0.13, 5.54, 8.948, -0.419, -1.307, -0.057, -0.47, -0.77, -0.68, -0.47, -0.76, -0.69, 0.174, -0.114, -9.978, 0.101, 0.113, -9.980
42.24248783, -83.55146685, 191.862, 734.524, 5.53, 0.00, 0.13, 5.53, 8.859, -0.467, -1.311, 0.006, 0.25, 0.29, -0.28, 0.24, 0.29, -0.28, 0.080, 0.000, -10.138, -0.002, 0.232, -10.136
42.24249765, -83.55146481, 191.839, 735.630, 5.53, 0.00, 0.12, 5.53, 8.786, -0.431, -1.262, -0.004, 0.43, -0.29, -0.15, 0.43, -0.28, -0.15, -0.143, -0.100, -9.875, -0.217, 0.118, -9.874
42.24250746, -83.55146279, 191.813, 736.735, 5.51, 0.00, 0.13, 5.51, 8.703, -0.355, -1.222, 0.037, 0.13, 0.11, -0.86, 0.12, 0.13, -0.86, -0.040, -0.050, -9.893, -0.101, 0.161, -9.891
42.24251724, -83.55146079, 191.790, 737.836, 5.50, 0.00, 0.12, 5.50, 8.601, -0.251, -1.175, -0.016, 0.13, 0.69, -0.52, 0.13, 0.70, -0.50, -0.110, -0.170, -9.522, -0.152, 0.026, -9.523
42.24252700, -83.55145884, 191.769, 738.935, 5.48, 0.00, 0.11, 5.48, 8.482, -0.155, -1.210, 0.021, -1.01, 0.98, -1.13, -1.01, 1.01, -1.10, 0.068, 0.037, -10.003, 0.041, 0.248, -10.000
42.24253675, -83.55145692, 191.749, 740.030, 5.47, -0.01, 0.09, 5.47, 8.356, -0.146, -1.199, -0.056, -0.79, 0.06, -0.59, -0.79, 0.07, -0.58, 0.007, -0.176, -10.205, -0.019, 0.037, -10.206
42.24254647, -83.55145505, 191.732, 741.123, 5.46, -0.01, 0.10, 5.46, 8.187, -0.189, -1.276, -0.071, -0.30, -0.56, -1.01, -0.30, -0.54, -1.02, 0.007, -0.147, -9.590, -0.025, 0.067, -9.590
42.24255618, -83.55145322, 191.714, 742.214, 5.45, 0.00, 0.10, 5.45, 8.010, -0.248, -1.290, -0.001, -0.34, -0.69, -1.00, -0.34, -0.67, -1.01, -0.109, -0.144, -9.421, -0.150, 0.068, -9.421
42.24256588, -83.55145142, 191.694, 743.303, 5.44, 0.00, 0.10, 5.44, 7.855, -0.277, -1.367, -0.008, -0.80, -0.26, -1.21, -0.80, -0.23, -1.21, -0.060, -0.146, -9.892, -0.108, 0.090, -9.892
42.24257559, -83.55144967, 191.672, 744.392, 5.45, 0.00, 0.11, 5.45, 7.677, -0.352, -1.424, 0.001, -0.45, -0.92, -1.02, -0.45, -0.89, -1.04, -0.044, -0.042, -9.552, -0.102, 0.196, -9.550
42.24258530, -83.55144795, 191.650, 745.482, 5.45, 0.00, 0.12, 5.45, 7.517, -0.384, -1.481, -0.011, 0.14, -0.22, -0.91, 0.14, -0.20, -0.92, 0.014, -0.048, -9.864, -0.053, 0.207, -9.862
42.24259504, -83.55144627, 191.626, 746.573, 5.46, 0.00, 0.12, 5.46, 7.338, -0.426, -1.529, -0.017, -0.55, -0.08, -0.90, -0.56, -0.06, -0.90, 0.029, -0.081, -9.634, -0.042, 0.176, -9.633
42.24260480, -83.55144462, 191.600, 747.667, 5.48, 0.00, 0.13, 5.48, 7.170, -0.460, -1.569, 0.044, -0.20, -0.45, -0.43, -0.21, -0.44, -0.44, 0.143, -0.055, -9.607, 0.066, 0.208, -9.605
42.24261459, -83.55144300, 191.575, 748.764, 5.49, 0.00, 0.12, 5.49, 6.998, -0.488, -1.570, -0.051, -0.47, -0.56, -1.32, -0.48, -0.53, -1.33, 0.014, -0.141, -9.684, -0.069, 0.125, -9.684
42.24262441, -83.55144141, 191.548, 749.862, 5.50, 0.00, 0.13, 5.50, 6.825, -0.469, -1.569, 0.040, 0.34, 0.80, -1.14, 0.33, 0.83, -1.12, 0.059, -0.032, -9.656, -0.020, 0.232, -9.654
42.24263425, -83.55143985, 191.520, 750.963, 5.51, 0.00, 0.13, 5.51, 6.664, -0.503, -1.531, -0.018, 0.38, -0.37, -0.62, 0.37, -0.36, -0.63, 0.042, -0.091, -9.852, -0.045, 0.173, -9.850
42.24264411, -83.55143833, 191.493, 752.065, 5.52, 0.00, 0.13, 5.52, 6.490, -0.507, -1.496, 0.043, 0.93, -0.09, -1.10, 0.92, -0.06, -1.11, -0.010, -0.041, -9.754, -0.096, 0.214, -9.751
42.24265400, -83.55143685, 191.467, 753.170, 5.52, 0.00, 0.13, 5.52, 6.321, -0.551, -1.462, -0.028, 0.44, -0.34, -0.55, 0.43, -0.33, -0.56, -0.029, -0.033, -9.816, -0.124, 0.217, -9.813
42.24266390, -83.55143541, 191.439, 754.275, 5.53, 0.00, 0.14, 5.53, 6.145, -0.553, -1.433, -0.007, 0.54, -0.33, -0.96, 0.53, -0.31, -0.97, 0.157, -0.135, -9.778, 0.063, 0.110, -9.779
42.24267382, -83.55143400, 191.412, 755.382, 5.54, 0.00, 0.14, 5.54, 5.978, -0.596, -1.416, -0.031, 0.33, -0.41, -0.56, 0.32, -0.40, -0.57, 0.064, -0.061, -9.457, -0.034, 0.172, -9.456
42.24268377, -83.55143262, 191.383, 756.491, 5.55, 0.00, 0.14, 5.55, 5.797, -0.584, -1.373, 0.012, 0.39, -0.22, -0.96, 0.38, -0.20, -0.96, -0.032, 0.052, -9.676, -0.131, 0.284, -9.672
42.24269374, -83.55143128, 191.355, 757.603, 5.56, 0.00, 0.14, 5.56, 5.641, -0.606, -1.364, -0.050, 0.50, -0.25, -0.80, 0.49, -0.23, -0.81, 0.103, -0.053, -9.852, -0.001, 0.182, -9.851
42.24270373, -83.55142998, 191.326, 758.717, 5.58, 0.00, 0.15, 5.58, 5.466, -0.605, -1.324, -0.016, 0.69, -0.13, -0.76, 0.69, -0.11, -0.77, 0.047, -0.003, -9.944, -0.058, 0.226, -9.941
42.24271376, -83.55142871, 191.298, 759.833, 5.59, -0.01, 0.14, 5.59, 5.312, -0.658, -1.308, -0.058, 0.42, -0.58, -0.19, 0.42, -0.57, -0.21, 0.018, -0.070, -9.527, -0.091, 0.147, -9.526
42.24272381, -83.55142747, 191.269, 760.952, 5.61, -0.01, 0.14, 5.61, 5.147, -0.685, -1.275, -0.057, 0.21, 0.17, -1.03, 0.20, 0.20, -1.03, 0.169, -0.076, -10.155, 0.048, 0.150, -10.156
42.24273388, -83.55142627, 191.240, 762.075, 5.62, 0.00, 0.16, 5.62, 4.996, -0.751, -1.260, -0.033, 0.10, -0.47, -1.10, 0.08, -0.45, -1.11, 0.111, -0.208, -9.560, -0.014, 0.003, -9.563
42.24274399, -83.55142510, 191.209, 763.199, 5.63, -0.01, 0.14, 5.63, 4.829, -0.780, -1.242, -0.058, -0.16, 0.53, -0.66, -0.17, 0.55, -0.65, -0.029, -0.134, -9.420, -0.158, 0.071, -9.420
42.24275414, -83.55142396, 191.179, 764.328, 5.65, 0.00, 0.16, 5.65, 4.673, -0.819, -1.231, -0.014, -0.17, 0.08, -1.00, -0.18, 0.10, -1.00, 0.197, 0.068, -9.472, 0.062, 0.272, -9.470
42.24276430, -83.55142286, 191.146, 765.459, 5.67, -0.01, 0.16, 5.67, 4.509, -0.881, -1.209, -0.062, -0.22, -1.23, -0.78, -0.23, -1.21, -0.81, 0.083, -0.297, -10.065, -0.072, -0.084, -10.069
42.24277451, -83.55142181, 191.114, 766.595, 5.68, -0.01, 0.18, 5.68, 4.372, -0.948, -1.257, -0.054, -0.34, 0.16, -0.65, -0.35, 0.17, -0.64, -0.007, -0.012, -9.411, -0.163, 0.194, -9.408
42.24278474, -83.55142077, 191.079, 767.733, 5.70, -0.01, 0.16, 5.70, 4.265, -0.965, -1.239, -0.103, -0.54, -0.80, 0.24, -0.53, -0.80, 0.23, 0.022, -0.267, -10.138, -0.149, -0.048, -10.140
42.24279500, -83.55141978, 191.041, 768.875, 5.72, -0.01, 0.19, 5.72, 4.165, -0.921, -1.292, -0.072, -0.24, -0.21, -0.64, -0.25, -0.20, -0.64, 0.044, 0.080, -9.960, -0.117, 0.305, -9.955
42.24280530, -83.55141880, 191.005, 770.020, 5.73, -0.01, 0.19, 5.73, 4.042, -0.939, -1.283, -0.104, -0.57, 0.67, -0.59, -0.58, 0.68, -0.56, -0.016, -0.055, -9.449, -0.171, 0.156, -9.446
42.24281563, -83.55141785, 190.966, 771.168, 5.75, -0.01, 0.18, 5.75, 3.937, -0.892, -1.285, -0.085, 0.43, -0.53, -1.43, 0.41, -0.49, -1.45, 0.133, -0.092, -10.115, -0.025, 0.135, -10.116
42.24282598, -83.55141693, 190.930, 772.319, 5.76, -0.02, 0.18, 5.76, 3.848, -0.889, -1.289, -0.167, 0.15, 0.51, -0.40, 0.14, 0.52, -0.39, 0.121, -0.073, -9.505, -0.027, 0.141, -9.505
42.24283636, -83.55141603, 190.892, 773.473, 5.78, -0.02, 0.18, 5.78, 3.750, -0.853, -1.321, -0.161, 0.20, 0.02, -0.39, 0.20, 0.02, -0.39, -0.063, 0.043, -9.754, -0.208, 0.268, -9.749
42.24284677, -83.55141515, 190.855, 774.630, 5.79, -0.01, 0.18, 5.79, 3.656, -0.867, -1.297, -0.138, 0.48, 1.03, -0.65, 0.47, 1.04, -0.63, 0.041, 0.047, -9.520, -0.103, 0.263, -9.516
42.24285720, -83.55141429, 190.818, 775.790, 5.81, -0.02, 0.18, 5.81, 3.557, -0.878, -1.329, -0.235, -0.32, -1.24, -0.43, -0.32, -1.23, -0.45, 0.140, -0.104, -10.171, -0.016, 0.132, -10.172
42.24286767, -83.55141346, 190.781, 776.952, 5.82, -0.02, 0.18, 5.82, 3.453, -0.899, -1.375, -0.154, -0.67, 0.06, -1.00, -0.68, 0.08, -0.99, -0.005, -0.010, -9.523, -0.154, 0.219, -9.520
42.24287816, -83.55141265, 190.743, 778.117, 5.83, -0.02, 0.17, 5.83, 3.358, -0.926, -1.396, -0.193, -0.10, 0.60, -0.36, -0.10, 0.61, -0.35, 0.069, -0.124, -9.927, -0.091, 0.118, -9.927
42.24288867, -83.55141186, 190.705, 779.284, 5.84, -0.02, 0.19, 5.84, 3.248, -0.905, -1.438, -0.202, -0.46, 0.21, -0.72, -0.47, 0.22, -0.71, 0.104, -0.046, -9.410, -0.045, 0.191, -9.409
42.24289922, -83.55141111, 190.666, 780.454, 5.85, -0.02, 0.19, 5.85, 3.108, -0.857, -1.451, -0.201, -0.12, -0.02, -0.53, -0.13, -0.01, -0.53, 0.104, -0.145, -9.891, -0.044, 0.105, -9.892
42.24290978, -83.55141036, 190.629, 781.626, 5.87, -0.01, 0.19, 5.87, 2.964, -0.815, -1.405, -0.123, 0.06, 0.05, -1.05, 0.05, 0.08, -1.05, 0.022, -0.121, -9.411, -0.112, 0.110, -9.411
42.24292037, -83.55140966, 190.593, 782.801, 5.88, -0.02, 0.17, 5.88, 2.794, -0.868, -1.332, -0.170, 0.61, -0.67, -1.08, 0.60, -0.64, -1.10, -0.015, -0.152, -10.146, -0.169, 0.084, -10.146
42.24293099, -83.55140900, 190.558, 783.978, 5.89, -0.02, 0.19, 5.89, 2.623, -0.927, -1.314, -0.217, 0.46, -0.20, -0.58, 0.45, -0.19, -0.59, 0.047, -0.021, -9.358, -0.105, 0.193, -9.355
42.24294163, -83.55140840, 190.522, 785.158, 5.91, -0.02, 0.18, 5.91, 2.459, -0.974, -1.336, -0.233, 0.17, 0.09, -0.64, 0.16, 0.11, -0.64, 0.098, 0.031, -9.661, -0.066, 0.256, -9.658
42.24295229, -83.55140783, 190.483, 786.341, 5.92, -0.03, 0.19, 5.92, 2.337, -0.911, -1.342, -0.284, 0.25, 0.52, -0.45, 0.24, 0.53, -0.45, 0.172, -0.093, -9.840, 0.015, 0.138, -9.841
42.24296299, -83.55140729, 190.445, 787.526, 5.93, -0.02, 0.19, 5.93, 2.258, -0.917, -1.354, -0.219, -0.02, 0.04, -0.04, -0.02, 0.04, -0.04, -0.013, 0.029, -9.609, -0.167, 0.257, -9.604
42.24297370, -83.55140675, 190.408, 788.713, 5.95, -0.02, 0.18, 5.95, 2.167, -0.946, -1.320, -0.224, -0.62, -0.41, -0.31, -0.63, -0.40, -0.31, 0.085, -0.145, -9.549, -0.073, 0.075, -9.550
42.24298444, -83.55140623, 190.370, 789.903, 5.96, -0.02, 0.19, 5.96, 2.071, -0.964, -1.305, -0.184, 0.52, -0.53, -0.96, 0.50, -0.50, -0.98, 0.060, 0.002, -9.429, -0.099, 0.217, -9.426
42.24299520, -83.55140573, 190.333, 791.096, 5.97, -0.03, 0.19, 5.97, 1.972, -1.018, -1.273, -0.242, 0.18, 0.08, -0.37, 0.17, 0.09, -0.37, 0.051, 0.003, -9.658, -0.121, 0.217, -9.655
42.24300597, -83.55140525, 190.294, 792.291, 5.98, -0.02, 0.19, 5.98, 1.862, -1.024, -1.239, -0.192, 0.49, -0.68, -0.78, 0.48, -0.67, -0.80, 0.133, -0.078, -10.211, -0.050, 0.143, -10.211
42.24301677, -83.55140481, 190.255, 793.488, 5.99, -0.02, 0.20, 5.99, 1.719, -1.038, -1.232, -0.239, 0.37, 0.10, -0.71, 0.36, 0.12, -0.71, 0.040, 0.005, -9.945, -0.140, 0.219, -9.942
42.24302760, -83.55140440, 190.216, 794.688, 6.00, -0.02, 0.20, 6.00, 1.550, -1.000, -1.215, -0.188, 0.57, -0.25, -1.21, 0.55, -0.22, -1.23, 0.084, -0.054, -10.237, -0.095, 0.163, -10.236
42.24303844, -83.55140402, 190.178, 795.890, 6.02, -0.02, 0.19, 6.02, 1.367, -0.942, -1.166, -0.145, 0.02, 0.22, -1.16, 0.00, 0.25, -1.16, -0.021, -0.159, -9.629, -0.180, 0.037, -9.629
42.24304929, -83.55140370, 190.140, 797.095, 6.03, -0.02, 0.18, 6.03, 1.185, -0.870, -1.157, -0.180, -0.73, 0.44, -1.20, -0.75, 0.46, -1.18, 0.133, -0.119, -10.026, -0.019, 0.084, -10.028
42.24306015, -83.55140342, 190.104, 798.301, 6.04, -0.01, 0.19, 6.04, 1.005, -0.857, -1.143, -0.136, -0.46, 1.16, -1.07, -0.48, 1.19, -1.04, 0.057, -0.184, -9.412, -0.083, 0.004, -9.413
42.24307104, -83.55140319, 190.070, 799.509, 6.05, -0.02, 0.16, 6.05, 0.840, -0.926, -1.110, -0.150, -0.01, -1.10, -0.38, -0.01, -1.09, -0.40, 0.104, -0.073, -10.014, -0.058, 0.121, -10.014
42.24308193, -83.55140300, 190.034, 800.719, 6.05, -0.02, 0.19, 6.05, 0.733, -0.941, -1.062, -0.146, 0.62, -0.07, -0.53, 0.62, -0.06, -0.54, 0.195, -0.143, -9.660, 0.036, 0.036, -9.663
42.24309284, -83.55140283, 189.996, 801.931, 6.07, -0.02, 0.18, 6.07, 0.648, -1.008, -1.004, -0.159, 0.57, -1.06, 0.06, 0.57, -1.06, 0.03, 0.071, 0.038, -10.120, -0.107, 0.215, -10.118
42.24310377, -83.55140269, 189.959, 803.145, 6.07, -0.01, 0.19, 6.07, 0.550, -1.141, -0.906, -0.105, 1.40, -0.53, -0.46, 1.39, -0.53, -0.50, 0.015, 0.007, -9.802, -0.180, 0.162, -9.799
42.24311472, -83.55140257, 189.921, 804.361, 6.08, -0.01, 0.19, 6.08, 0.425, -1.102, -0.807, -0.135, -0.45, 0.13, -0.42, -0.46, 0.13, -0.41, -0.026, -0.086, -9.351, -0.206, 0.046, -9.349
42.24312567, -83.55140249, 189.875, 805.578, 6.09, -0.02, 0.19, 6.09, 0.314, -0.939, -0.820, -0.148, -0.52, -0.37, -0.62, -0.53, -0.36, -0.61, 0.107, -0.145, -10.249, -0.061, 0.002, -10.251
42.24313663, -83.55140244, 189.838, 806.797, 6.10, -0.02, 0.20, 6.10, 0.210, -0.917, -0.809, -0.162, -0.01, -0.06, -0.69, -0.02, -0.05, -0.69, 0.019, -0.092, -9.420, -0.132, 0.041, -9.419
42.24314760, -83.55140243, 189.800, 808.017, 6.11, -0.02, 0.18, 6.11, 0.100, -0.929, -0.881, -0.224, -0.64, -0.49, -0.42, -0.65, -0.48, -0.41, 0.103, 0.003, -10.077, -0.060, 0.158, -10.076
42.24315860, -83.55140244, 189.764, 809.239, 6.11, -0.02, 0.18, 6.11, 359.986, -0.969, -0.914, -0.183, -0.02, -0.19, -0.33, -0.03, -0.18, -0.33, 0.070, -0.210, -9.519, -0.091, -0.059, -9.521
42.24316960, -83.55140249, 189.726, 810.463, 6.12, -0.02, 0.19, 6.12, 359.885, -0.975, -1.000, -0.209, -0.58, 0.17, -0.30, -0.59, 0.18, -0.29, -0.071, 0.026, -9.935, -0.241, 0.199, -9.930
42.24318060, -83.55140257, 189.688, 811.687, 6.13, -0.02, 0.18, 6.13, 359.780, -0.913, -1.023, -0.174, -0.22, 0.44, -0.41, -0.23, 0.45, -0.40, 0.197, -0.059, -10.143, 0.035, 0.122, -10.144
42.24319162, -83.55140268, 189.650, 812.913, 6.13, -0.02, 0.20, 6.13, 359.675, -0.960, -1.095, -0.211, -0.59, 0.06, -0.65, -0.60, 0.07, -0.64, -0.063, -0.090, -9.499, -0.223, 0.091, -9.496
42.24320265, -83.55140279, 189.614, 814.141, 6.14, -0.01, 0.16, 6.14, 359.524, -1.016, -1.070, -0.048, 0.09, -0.86, -0.90, 0.07, -0.85, -0.92, -0.010, -0.107, -9.476, -0.178, 0.070, -9.475
42.24321369, -83.55140295, 189.575, 815.369, 6.15, -0.02, 0.21, 6.15, 359.348, -1.021, -1.067, -0.144, -0.36, 0.79, -1.08, -0.38, 0.81, -1.06, 0.023, -0.114, -9.788, -0.152, 0.068, -9.787
42.24322474, -83.55140316, 189.535, 816.600, 6.16, -0.01, 0.20, 6.16, 359.150, -1.127, -1.067, -0.081, -0.86, 0.28, -1.41, -0.89, 0.31, -1.39, -0.002, -0.203, -9.561, -0.190, -0.025, -9.561
42.24323581, -83.55140340, 189.494, 817.833, 6.17, -0.01, 0.21, 6.17, 358.985, -1.135, -1.008, -0.066, 0.72, 0.27, -1.05, 0.70, 0.29, -1.06, 0.075, -0.141, -10.124, -0.126, 0.037, -10.124
42.24324690, -83.55140370, 189.450, 819.068, 6.18, -0.02, 0.22, 6.18, 358.865, -1.149, -1.016, -0.144, -0.10, 0.77, -0.08, -0.10, 0.77, -0.07, 0.129, -0.054, -9.913, -0.070, 0.122, -9.913
42.24325803, -83.55140403, 189.406, 820.305, 6.20, 0.00, 0.20, 6.20, 358.763, -1.162, -0.973, -0.044, 0.80, 0.48, -0.55, 0.79, 0.49, -0.55, 0.093, -0.069, -9.550, -0.101, 0.094, -9.549
